year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1901,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,the Netherlands,male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany
1901,Literature,The Nobel Prize in Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,male,,,,1907-09-07,Châtenay,France
1901,Peace,The Nobel Peace Prize,"for his lifelong work for international peace conferences, diplomacy and arbitration",1/2,463,Individual,Frédéric Passy,1822-05-20,Paris,France,male,,,,1912-06-12,Paris,France
1901,Peace,The Nobel Peace Prize,for his humanitarian efforts to help wounded soldiers and create international understanding,1/2,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,male,,,,1910-10-30,Heiden,Switzerland
1901,Physics,The Nobel Prize in Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep,Prussia,male,Munich University,Munich,Germany,1923-02-10,Munich,Germany
1901,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf,Prussia,male,Marburg University,Marburg,Germany,1917-03-31,Marburg,Germany
1902,Chemistry,The Nobel Prize in Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia,male,Berlin University,Berlin,Germany,1919-07-15,Berlin,Germany
1902,Literature,The Nobel Prize in Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig,male,,,,1903-11-01,Charlottenburg,Germany
1902,Peace,The Nobel Peace Prize,for his eminently practical administration of the Inter-Parliamentary Union,1/2,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,male,,,,1914-03-16,Bern,Switzerland
1902,Peace,The Nobel Peace Prize,for his untiring and skilful directorship of the Bern Peace Bureau,1/2,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,male,,,,1906-12-07,Bern,Switzerland
